transaction_id,timestamp,date,time,customer_id,merchant_id,merchant_category,transaction_type,payment_method,amount,amount_category,status,account_balance,hour,day_of_week,month,month_name,quarter,year
TXN00000026,2024-01-04 00:25:53,2024-01-04,00:25:53,CUST000013,MERCH000190,other,purchase,bank_transfer,144.0,very_large,approved,7114.01,0,Thursday,1,January,1,2024
TXN00000027,2024-01-04 04:14:23,2024-01-04,04:14:23,CUST000031,MERCH000115,utilities,purchase,debit_card,661.1,extra_large,approved,9629.96,4,Thursday,1,January,1,2024
TXN00000028,2024-01-04 06:00:33,2024-01-04,06:00:33,CUST000071,MERCH000162,groceries,purchase,cash,20.58,medium,approved,9453.87,6,Thursday,1,January,1,2024
TXN00000029,2024-01-04 08:19:36,2024-01-04,08:19:36,CUST000159,MERCH000145,healthcare,purchase,cash,17.64,medium,approved,5244.62,8,Thursday,1,January,1,2024
TXN00000030,2024-01-04 09:40:31,2024-01-04,09:40:31,CUST000175,MERCH000048,gas_station,fee,debit_card,-2.29,small,approved,8876.94,9,Thursday,1,January,1,2024
TXN00000031,2024-01-04 10:27:25,2024-01-04,10:27:25,CUST000035,MERCH000091,retail,refund,cash,-10.41,medium,approved,391.57,10,Thursday,1,January,1,2024
TXN00000032,2024-01-04 10:41:18,2024-01-04,10:41:18,CUST000132,MERCH000053,utilities,purchase,credit_card,7.19,small,approved,8625.41,10,Thursday,1,January,1,2024
TXN00000033,2024-01-04 12:40:43,2024-01-04,12:40:43,CUST000183,MERCH000061,online_shopping,transfer,credit_card,18.8,medium,approved,4813.89,12,Thursday,1,January,1,2024
TXN00000034,2024-01-04 17:51:10,2024-01-04,17:51:10,CUST000105,MERCH000103,online_shopping,transfer,debit_card,90.26,large,approved,7837.12,17,Thursday,1,January,1,2024
TXN00000035,2024-01-04 18:54:07,2024-01-04,18:54:07,CUST000022,MERCH000102,groceries,purchase,digital_wallet,6.83,small,approved,155.27,18,Thursday,1,January,1,2024
TXN00000036,2024-01-04 20:13:18,2024-01-04,20:13:18,CUST000104,MERCH000139,restaurant,purchase,debit_card,7.63,small,approved,8698.75,20,Thursday,1,January,1,2024
TXN00000037,2024-01-04 20:35:38,2024-01-04,20:35:38,CUST000076,MERCH000143,online_shopping,purchase,debit_card,40.73,medium,approved,5990.3,20,Thursday,1,January,1,2024
TXN00000038,2024-01-04 21:10:45,2024-01-04,21:10:45,CUST000127,MERCH000090,restaurant,withdrawal,debit_card,25.64,medium,approved,2478.28,21,Thursday,1,January,1,2024
TXN00000039,2024-01-04 21:27:45,2024-01-04,21:27:45,CUST000096,MERCH000118,groceries,transfer,credit_card,138.1,very_large,approved,3540.08,21,Thursday,1,January,1,2024
TXN00000040,2024-01-04 22:12:29,2024-01-04,22:12:29,CUST000005,MERCH000139,other,purchase,credit_card,23.52,medium,approved,2086.59,22,Thursday,1,January,1,2024
TXN00000041,2024-01-05 00:27:49,2024-01-05,00:27:49,CUST000198,MERCH000135,gas_station,purchase,cash,27.51,medium,approved,4301.62,0,Friday,1,January,1,2024
TXN00000042,2024-01-05 04:30:31,2024-01-05,04:30:31,CUST000118,MERCH000047,groceries,transfer,bank_transfer,229.55,very_large,pending,3367.06,4,Friday,1,January,1,2024
TXN00000043,2024-01-05 08:55:44,2024-01-05,08:55:44,CUST000106,MERCH000136,other,deposit,credit_card,36.47,medium,approved,5391.58,8,Friday,1,January,1,2024
TXN00000044,2024-01-05 10:35:50,2024-01-05,10:35:50,CUST000191,MERCH000005,transportation,transfer,debit_card,210.95,very_large,approved,8166.37,10,Friday,1,January,1,2024
TXN00000045,2024-01-05 11:06:10,2024-01-05,11:06:10,CUST000032,MERCH000087,transportation,purchase,credit_card,21.76,medium,approved,9824.53,11,Friday,1,January,1,2024
TXN00000046,2024-01-05 13:13:53,2024-01-05,13:13:53,CUST000036,MERCH000194,transportation,purchase,credit_card,14.57,medium,approved,2589.43,13,Friday,1,January,1,2024
TXN00000047,2024-01-05 14:45:44,2024-01-05,14:45:44,CUST000153,MERCH000091,utilities,purchase,credit_card,11.31,medium,approved,1154.43,14,Friday,1,January,1,2024
TXN00000048,2024-01-05 15:16:28,2024-01-05,15:16:28,CUST000051,MERCH000063,utilities,purchase,debit_card,6.32,small,approved,4017.11,15,Friday,1,January,1,2024
TXN00000049,2024-01-05 16:56:34,2024-01-05,16:56:34,CUST000153,MERCH000021,restaurant,transfer,credit_card,20.32,medium,approved,1521.19,16,Friday,1,January,1,2024
TXN00000050,2024-01-06 01:54:57,2024-01-06,01:54:57,CUST000054,MERCH000199,healthcare,purchase,credit_card,5.62,small,approved,8358.98,1,Saturday,1,January,1,2024
TXN00000051,2024-01-06 02:51:25,2024-01-06,02:51:25,CUST000013,MERCH000119,utilities,transfer,cash,27.29,medium,approved,5061.14,2,Saturday,1,January,1,2024
TXN00000052,2024-01-06 03:21:49,2024-01-06,03:21:49,CUST000113,MERCH000121,online_shopping,purchase,bank_transfer,75.26,large,approved,6237.63,3,Saturday,1,January,1,2024
TXN00000053,2024-01-06 06:35:11,2024-01-06,06:35:11,CUST000037,MERCH000102,retail,transfer,credit_card,89.12,large,approved,1591.06,6,Saturday,1,January,1,2024
TXN00000054,2024-01-06 06:48:01,2024-01-06,06:48:01,CUST000148,MERCH000090,transportation,purchase,debit_card,22.47,medium,approved,7521.13,6,Saturday,1,January,1,2024
TXN00000055,2024-01-06 08:56:12,2024-01-06,08:56:12,CUST000135,MERCH000140,online_shopping,purchase,credit_card,16.59,medium,approved,9738.46,8,Saturday,1,January,1,2024
TXN00000056,2024-01-06 10:48:37,2024-01-06,10:48:37,CUST000186,MERCH000112,entertainment,purchase,digital_wallet,30.53,medium,approved,4875.61,10,Saturday,1,January,1,2024
TXN00000057,2024-01-06 10:59:44,2024-01-06,10:59:44,CUST000152,MERCH000139,retail,purchase,debit_card,34.13,medium,approved,9628.33,10,Saturday,1,January,1,2024
TXN00000058,2024-01-06 13:58:17,2024-01-06,13:58:17,CUST000034,MERCH000182,restaurant,deposit,digital_wallet,19.56,medium,approved,443.69,13,Saturday,1,January,1,2024
TXN00000059,2024-01-06 17:18:15,2024-01-06,17:18:15,CUST000153,MERCH000138,utilities,purchase,credit_card,52.64,large,approved,453.65,17,Saturday,1,January,1,2024
TXN00000060,2024-01-06 17:55:24,2024-01-06,17:55:24,CUST000135,MERCH000119,restaurant,purchase,debit_card,23.91,medium,declined,9604.13,17,Saturday,1,January,1,2024
TXN00000061,2024-01-06 18:08:59,2024-01-06,18:08:59,CUST000142,MERCH000016,utilities,transfer,debit_card,128.53,very_large,declined,7032.63,18,Saturday,1,January,1,2024
TXN00000062,2024-01-06 18:19:46,2024-01-06,18:19:46,CUST000160,MERCH000143,utilities,withdrawal,credit_card,43.43,medium,approved,1968.03,18,Saturday,1,January,1,2024
TXN00000063,2024-01-06 19:17:06,2024-01-06,19:17:06,CUST000126,MERCH000186,groceries,purchase,credit_card,8.02,small,approved,3702.36,19,Saturday,1,January,1,2024
TXN00000064,2024-01-06 21:52:41,2024-01-06,21:52:41,CUST000105,MERCH000119,other,deposit,debit_card,278.92,very_large,approved,5126.76,21,Saturday,1,January,1,2024
TXN00000065,2024-01-07 01:26:57,2024-01-07,01:26:57,CUST000135,MERCH000084,other,purchase,cash,32.74,medium,approved,7056.11,1,Sunday,1,January,1,2024
TXN00000066,2024-01-07 05:06:09,2024-01-07,05:06:09,CUST000058,MERCH000132,gas_station,purchase,credit_card,22.93,medium,approved,8436.06,5,Sunday,1,January,1,2024
TXN00000067,2024-01-07 06:01:26,2024-01-07,06:01:26,CUST000035,MERCH000022,gas_station,purchase,debit_card,59.3,large,approved,918.3,6,Sunday,1,January,1,2024
TXN00000068,2024-01-07 11:46:51,2024-01-07,11:46:51,CUST000132,MERCH000163,entertainment,purchase,credit_card,10.41,medium,approved,6600.08,11,Sunday,1,January,1,2024
TXN00000069,2024-01-07 13:49:34,2024-01-07,13:49:34,CUST000045,MERCH000142,gas_station,purchase,credit_card,6.86,small,declined,4819.44,13,Sunday,1,January,1,2024
TXN00000070,2024-01-07 17:50:02,2024-01-07,17:50:02,CUST000016,MERCH000094,healthcare,purchase,debit_card,57.78,large,approved,6016.46,17,Sunday,1,January,1,2024
TXN00000071,2024-01-07 19:54:43,2024-01-07,19:54:43,CUST000001,MERCH000031,online_shopping,purchase,credit_card,104.23,very_large,approved,5134.46,19,Sunday,1,January,1,2024
TXN00000072,2024-01-07 23:45:09,2024-01-07,23:45:09,CUST000132,MERCH000070,entertainment,transfer,debit_card,126.94,very_large,approved,4561.86,23,Sunday,1,January,1,2024
TXN00000073,2024-01-08 02:15:19,2024-01-08,02:15:19,CUST000075,MERCH000091,entertainment,purchase,credit_card,74.13,large,approved,2134.58,2,Monday,1,January,1,2024
TXN00000074,2024-01-08 04:42:31,2024-01-08,04:42:31,CUST000148,MERCH000128,transportation,fee,debit_card,-2.38,small,approved,4776.13,4,Monday,1,January,1,2024
TXN00000075,2024-01-08 07:07:13,2024-01-08,07:07:13,CUST000076,MERCH000011,other,transfer,debit_card,58.49,large,approved,1977.59,7,Monday,1,January,1,2024
TXN00000076,2024-01-08 07:28:47,2024-01-08,07:28:47,CUST000108,MERCH000036,gas_station,purchase,bank_transfer,17.15,medium,approved,541.65,7,Monday,1,January,1,2024
TXN00000077,2024-01-08 07:56:52,2024-01-08,07:56:52,CUST000087,MERCH000080,healthcare,purchase,credit_card,92.54,large,approved,3800.86,7,Monday,1,January,1,2024
TXN00000078,2024-01-08 07:57:46,2024-01-08,07:57:46,CUST000140,MERCH000024,utilities,purchase,cash,54.28,large,approved,347.06,7,Monday,1,January,1,2024
TXN00000079,2024-01-08 09:14:18,2024-01-08,09:14:18,CUST000073,MERCH000168,entertainment,transfer,credit_card,310.25,very_large,approved,5669.2,9,Monday,1,January,1,2024
TXN00000080,2024-01-08 11:08:10,2024-01-08,11:08:10,CUST000193,MERCH000113,groceries,purchase,debit_card,17.85,medium,approved,816.69,11,Monday,1,January,1,2024
TXN00000081,2024-01-08 12:59:04,2024-01-08,12:59:04,CUST000189,MERCH000042,retail,purchase,debit_card,10.68,medium,approved,4431.78,12,Monday,1,January,1,2024
TXN00000082,2024-01-08 13:53:19,2024-01-08,13:53:19,CUST000165,MERCH000021,online_shopping,deposit,credit_card,287.72,very_large,approved,9803.41,13,Monday,1,January,1,2024
TXN00000083,2024-01-08 15:09:48,2024-01-08,15:09:48,CUST000184,MERCH000096,restaurant,purchase,debit_card,33.99,medium,approved,197.83,15,Monday,1,January,1,2024
TXN00000084,2024-01-08 15:35:58,2024-01-08,15:35:58,CUST000099,MERCH000051,groceries,purchase,credit_card,96.05,large,approved,3731.86,15,Monday,1,January,1,2024
TXN00000085,2024-01-08 17:07:38,2024-01-08,17:07:38,CUST000117,MERCH000081,restaurant,purchase,credit_card,31.03,medium,approved,6765.3,17,Monday,1,January,1,2024
TXN00000086,2024-01-08 17:18:45,2024-01-08,17:18:45,CUST000146,MERCH000055,transportation,withdrawal,credit_card,324.88,very_large,approved,1673.28,17,Monday,1,January,1,2024
TXN00000087,2024-01-08 17:19:56,2024-01-08,17:19:56,CUST000144,MERCH000124,other,withdrawal,cash,129.05,very_large,approved,5651.26,17,Monday,1,January,1,2024
TXN00000088,2024-01-08 18:39:56,2024-01-08,18:39:56,CUST000175,MERCH000132,entertainment,purchase,cash,28.22,medium,approved,2656.08,18,Monday,1,January,1,2024
TXN00000089,2024-01-08 20:05:38,2024-01-08,20:05:38,CUST000146,MERCH000062,other,purchase,credit_card,33.8,medium,approved,2305.41,20,Monday,1,January,1,2024
TXN00000090,2024-01-08 20:25:27,2024-01-08,20:25:27,CUST000200,MERCH000087,restaurant,transfer,debit_card,92.65,large,declined,8960.34,20,Monday,1,January,1,2024
TXN00000091,2024-01-08 20:34:41,2024-01-08,20:34:41,CUST000071,MERCH000153,healthcare,transfer,credit_card,23.03,medium,approved,2112.48,20,Monday,1,January,1,2024
TXN00000092,2024-01-08 22:21:01,2024-01-08,22:21:01,CUST000161,MERCH000198,transportation,transfer,credit_card,50.48,large,approved,3827.86,22,Monday,1,January,1,2024
TXN00000093,2024-01-09 02:25:42,2024-01-09,02:25:42,CUST000145,MERCH000142,retail,purchase,cash,18.95,medium,approved,1779.02,2,Tuesday,1,January,1,2024
TXN00000094,2024-01-09 08:26:20,2024-01-09,08:26:20,CUST000143,MERCH000041,other,deposit,debit_card,86.12,large,approved,2910.49,8,Tuesday,1,January,1,2024
TXN00000095,2024-01-09 09:01:08,2024-01-09,09:01:08,CUST000070,MERCH000185,utilities,purchase,credit_card,14.66,medium,approved,3001.76,9,Tuesday,1,January,1,2024
TXN00000096,2024-01-09 09:33:35,2024-01-09,09:33:35,CUST000152,MERCH000166,gas_station,purchase,credit_card,28.5,medium,approved,3335.05,9,Tuesday,1,January,1,2024
TXN00000097,2024-01-09 09:39:50,2024-01-09,09:39:50,CUST000177,MERCH000190,entertainment,refund,digital_wallet,-14.99,medium,approved,6446.56,9,Tuesday,1,January,1,2024
TXN00000098,2024-01-09 10:42:26,2024-01-09,10:42:26,CUST000041,MERCH000041,gas_station,purchase,credit_card,35.72,medium,approved,7451.67,10,Tuesday,1,January,1,2024
TXN00000099,2024-01-09 12:35:51,2024-01-09,12:35:51,CUST000133,MERCH000045,other,withdrawal,credit_card,167.55,very_large,approved,5155.63,12,Tuesday,1,January,1,2024
TXN00000100,2024-01-09 14:29:59,2024-01-09,14:29:59,CUST000082,MERCH000126,gas_station,purchase,debit_card,99.03,large,approved,6143.71,14,Tuesday,1,January,1,2024
TXN00000101,2024-01-09 19:33:01,2024-01-09,19:33:01,CUST000198,MERCH000096,healthcare,transfer,debit_card,18.68,medium,approved,8151.36,19,Tuesday,1,January,1,2024
TXN00000102,2024-01-09 22:29:27,2024-01-09,22:29:27,CUST000106,MERCH000144,entertainment,purchase,debit_card,31.44,medium,approved,9995.65,22,Tuesday,1,January,1,2024
TXN00000103,2024-01-10 00:57:58,2024-01-10,00:57:58,CUST000045,MERCH000019,transportation,refund,digital_wallet,-15.76,medium,approved,4619.41,0,Wednesday,1,January,1,2024
TXN00000104,2024-01-10 02:21:27,2024-01-10,02:21:27,CUST000080,MERCH000037,retail,purchase,credit_card,17.35,medium,approved,9370.7,2,Wednesday,1,January,1,2024
TXN00000105,2024-01-10 07:10:19,2024-01-10,07:10:19,CUST000140,MERCH000085,retail,purchase,cash,285.15,very_large,approved,4954.66,7,Wednesday,1,January,1,2024
TXN00000106,2024-01-10 07:37:30,2024-01-10,07:37:30,CUST000016,MERCH000189,transportation,refund,credit_card,-13.18,medium,approved,7841.8,7,Wednesday,1,January,1,2024
TXN00000107,2024-01-10 10:40:55,2024-01-10,10:40:55,CUST000132,MERCH000026,utilities,purchase,debit_card,20.96,medium,approved,5774.91,10,Wednesday,1,January,1,2024
TXN00000108,2024-01-10 11:10:47,2024-01-10,11:10:47,CUST000187,MERCH000094,online_shopping,purchase,digital_wallet,191.4,very_large,pending,8851.99,11,Wednesday,1,January,1,2024
TXN00000109,2024-01-10 11:51:09,2024-01-10,11:51:09,CUST000168,MERCH000104,restaurant,purchase,debit_card,87.27,large,declined,4542.16,11,Wednesday,1,January,1,2024
TXN00000110,2024-01-10 12:10:06,2024-01-10,12:10:06,CUST000015,MERCH000192,entertainment,transfer,cash,52.88,large,approved,6988.57,12,Wednesday,1,January,1,2024
TXN00000111,2024-01-10 12:40:35,2024-01-10,12:40:35,CUST000198,MERCH000125,groceries,purchase,digital_wallet,70.85,large,approved,4716.52,12,Wednesday,1,January,1,2024
TXN00000112,2024-01-10 12:49:26,2024-01-10,12:49:26,CUST000145,MERCH000141,utilities,purchase,credit_card,26.06,medium,approved,8584.57,12,Wednesday,1,January,1,2024
TXN00000113,2024-01-10 13:51:53,2024-01-10,13:51:53,CUST000032,MERCH000091,healthcare,purchase,cash,27.86,medium,approved,9944.25,13,Wednesday,1,January,1,2024
TXN00000114,2024-01-10 15:53:57,2024-01-10,15:53:57,CUST000003,MERCH000087,online_shopping,deposit,digital_wallet,27.5,medium,approved,2508.82,15,Wednesday,1,January,1,2024
TXN00000115,2024-01-10 17:11:39,2024-01-10,17:11:39,CUST000034,MERCH000162,online_shopping,purchase,debit_card,2.91,small,approved,4795.96,17,Wednesday,1,January,1,2024
TXN00000116,2024-01-10 17:19:51,2024-01-10,17:19:51,CUST000162,MERCH000123,utilities,purchase,credit_card,7.97,small,approved,904.44,17,Wednesday,1,January,1,2024
TXN00000117,2024-01-10 18:39:16,2024-01-10,18:39:16,CUST000008,MERCH000098,online_shopping,transfer,credit_card,23.91,medium,approved,1495.85,18,Wednesday,1,January,1,2024
TXN00000118,2024-01-10 23:03:32,2024-01-10,23:03:32,CUST000045,MERCH000023,other,refund,credit_card,-28.08,medium,pending,9298.59,23,Wednesday,1,January,1,2024
TXN00000119,2024-01-11 00:28:21,2024-01-11,00:28:21,CUST000148,MERCH000108,retail,purchase,credit_card,38.61,medium,approved,5481.78,0,Thursday,1,January,1,2024
TXN00000120,2024-01-11 06:00:43,2024-01-11,06:00:43,CUST000129,MERCH000148,groceries,fee,debit_card,-7.71,small,approved,4011.65,6,Thursday,1,January,1,2024
TXN00000121,2024-01-11 11:14:20,2024-01-11,11:14:20,CUST000151,MERCH000054,entertainment,purchase,credit_card,9.94,small,approved,6747.68,11,Thursday,1,January,1,2024
TXN00000122,2024-01-11 11:21:38,2024-01-11,11:21:38,CUST000147,MERCH000186,healthcare,purchase,credit_card,197.71,very_large,approved,5645.6,11,Thursday,1,January,1,2024
TXN00000123,2024-01-11 15:50:42,2024-01-11,15:50:42,CUST000013,MERCH000059,retail,purchase,debit_card,180.25,very_large,approved,2958.31,15,Thursday,1,January,1,2024
TXN00000124,2024-01-11 22:41:22,2024-01-11,22:41:22,CUST000175,MERCH000148,other,withdrawal,debit_card,46.15,medium,approved,2343.48,22,Thursday,1,January,1,2024
TXN00000125,2024-01-12 03:43:51,2024-01-12,03:43:51,CUST000044,MERCH000039,retail,purchase,debit_card,16.67,medium,approved,5943.37,3,Friday,1,January,1,2024
TXN00000126,2024-01-12 03:58:32,2024-01-12,03:58:32,CUST000120,MERCH000078,online_shopping,purchase,cash,17.56,medium,approved,1963.83,3,Friday,1,January,1,2024
TXN00000127,2024-01-12 04:54:33,2024-01-12,04:54:33,CUST000136,MERCH000091,entertainment,purchase,credit_card,40.37,medium,approved,1477.8,4,Friday,1,January,1,2024
TXN00000128,2024-01-12 05:28:48,2024-01-12,05:28:48,CUST000034,MERCH000160,gas_station,transfer,credit_card,861.88,extra_large,approved,3252.04,5,Friday,1,January,1,2024
TXN00000129,2024-01-12 08:06:33,2024-01-12,08:06:33,CUST000197,MERCH000169,healthcare,purchase,credit_card,30.12,medium,approved,8627.28,8,Friday,1,January,1,2024
TXN00000130,2024-01-12 09:04:55,2024-01-12,09:04:55,CUST000109,MERCH000069,groceries,purchase,debit_card,6.81,small,approved,464.51,9,Friday,1,January,1,2024
TXN00000131,2024-01-12 11:17:38,2024-01-12,11:17:38,CUST000014,MERCH000068,entertainment,purchase,credit_card,220.38,very_large,approved,8349.34,11,Friday,1,January,1,2024
TXN00000132,2024-01-12 13:15:28,2024-01-12,13:15:28,CUST000189,MERCH000087,entertainment,refund,cash,-14.58,medium,approved,6247.64,13,Friday,1,January,1,2024
TXN00000133,2024-01-12 13:55:58,2024-01-12,13:55:58,CUST000129,MERCH000021,transportation,transfer,credit_card,515.2,extra_large,approved,499.69,13,Friday,1,January,1,2024
TXN00000134,2024-01-12 16:38:40,2024-01-12,16:38:40,CUST000145,MERCH000152,online_shopping,purchase,digital_wallet,61.92,large,approved,6060.19,16,Friday,1,January,1,2024
TXN00000135,2024-01-13 00:44:35,2024-01-13,00:44:35,CUST000116,MERCH000144,healthcare,transfer,debit_card,75.33,large,approved,4317.59,0,Saturday,1,January,1,2024
TXN00000136,2024-01-13 03:15:11,2024-01-13,03:15:11,CUST000161,MERCH000032,healthcare,purchase,debit_card,87.0,large,approved,8427.16,3,Saturday,1,January,1,2024
TXN00000137,2024-01-13 05:19:24,2024-01-13,05:19:24,CUST000013,MERCH000154,restaurant,transfer,cash,37.27,medium,approved,9081.27,5,Saturday,1,January,1,2024
TXN00000138,2024-01-13 06:50:44,2024-01-13,06:50:44,CUST000052,MERCH000003,online_shopping,purchase,cash,24.76,medium,approved,2936.28,6,Saturday,1,January,1,2024
TXN00000139,2024-01-13 07:33:39,2024-01-13,07:33:39,CUST000105,MERCH000082,utilities,purchase,debit_card,19.48,medium,approved,7863.28,7,Saturday,1,January,1,2024
TXN00000140,2024-01-13 08:51:55,2024-01-13,08:51:55,CUST000016,MERCH000121,restaurant,fee,digital_wallet,-4.05,small,approved,3167.05,8,Saturday,1,January,1,2024
TXN00000141,2024-01-13 13:51:20,2024-01-13,13:51:20,CUST000146,MERCH000116,utilities,fee,debit_card,-5.89,small,approved,3026.79,13,Saturday,1,January,1,2024
TXN00000142,2024-01-13 22:00:27,2024-01-13,22:00:27,CUST000082,MERCH000135,healthcare,purchase,digital_wallet,56.84,large,approved,2007.12,22,Saturday,1,January,1,2024
TXN00000143,2024-01-14 04:17:41,2024-01-14,04:17:41,CUST000054,MERCH000088,transportation,purchase,credit_card,6.99,small,approved,6817.04,4,Sunday,1,January,1,2024
TXN00000144,2024-01-14 04:20:57,2024-01-14,04:20:57,CUST000001,MERCH000144,other,purchase,digital_wallet,19.38,medium,approved,2690.69,4,Sunday,1,January,1,2024
TXN00000145,2024-01-14 06:41:40,2024-01-14,06:41:40,CUST000146,MERCH000053,healthcare,withdrawal,credit_card,32.25,medium,approved,4702.1,6,Sunday,1,January,1,2024
TXN00000146,2024-01-14 07:09:45,2024-01-14,07:09:45,CUST000161,MERCH000004,retail,purchase,credit_card,59.51,large,approved,8140.07,7,Sunday,1,January,1,2024
TXN00000147,2024-01-14 07:29:28,2024-01-14,07:29:28,CUST000083,MERCH000173,transportation,purchase,debit_card,8.16,small,approved,7939.94,7,Sunday,1,January,1,2024
TXN00000148,2024-01-14 11:19:33,2024-01-14,11:19:33,CUST000123,MERCH000032,healthcare,purchase,credit_card,67.12,large,approved,8568.88,11,Sunday,1,January,1,2024
TXN00000149,2024-01-14 12:18:11,2024-01-14,12:18:11,CUST000044,MERCH000083,other,deposit,credit_card,19.31,medium,approved,1694.54,12,Sunday,1,January,1,2024
TXN00000150,2024-01-14 14:34:17,2024-01-14,14:34:17,CUST000133,MERCH000102,restaurant,purchase,credit_card,42.45,medium,approved,5910.24,14,Sunday,1,January,1,2024
TXN00000151,2024-01-14 15:42:56,2024-01-14,15:42:56,CUST000003,MERCH000058,other,purchase,debit_card,100.93,very_large,approved,9156.91,15,Sunday,1,January,1,2024
TXN00000152,2024-01-14 20:52:52,2024-01-14,20:52:52,CUST000109,MERCH000013,gas_station,purchase,digital_wallet,9.71,small,approved,516.3,20,Sunday,1,January,1,2024
TXN00000153,2024-01-14 23:09:32,2024-01-14,23:09:32,CUST000136,MERCH000150,groceries,purchase,debit_card,42.17,medium,approved,7965.82,23,Sunday,1,January,1,2024
TXN00000154,2024-01-14 23:14:38,2024-01-14,23:14:38,CUST000183,MERCH000044,groceries,purchase,digital_wallet,27.51,medium,approved,2537.75,23,Sunday,1,January,1,2024
